Close,High,Low,Open,Volume,predicted_up_rate,predicted_Low_rate,Close_3ma,Close_3ma_positive,Close_5ma,Close_5ma_positive,Close_10ma,Close_10ma_positive,Close_25ma,Close_25ma_positive,Close_60ma,Close_60ma_positive,Close_100ma,Close_100ma_positive,Close_200ma,Close_200ma_positive
587.837,602.619,581.955,590.793,428566.4512,105.5,100.49999999999999,599.7,-1,594.3,-1,597.3,1,582.3,1,530.2,1,500.1,1,494.9,1
593.75,599.663,590.793,593.75,309069.5204,104.5,100.49999999999999,595.7,-1,599.1,1,597.9,1,584.4,1,531.7,1,501.4,1,495.5,1
608.532,617.398,596.706,599.663,1040950.828,101.89999999999999,97.6,596.7,1,600.3,1,597.0,-1,587.5,1,534.0,1,502.9,1,496.0,1
602.619,602.619,593.75,599.663,238321.5729,104.4,100.49999999999999,601.6,1,599.7,-1,597.3,1,589.9,1,536.4,1,504.3,1,496.5,1
620.354,620.354,605.576,611.489,293497.5092,101.4,97.6,610.5,1,602.6,1,598.8,1,592.1,1,539.2,1,506.0,1,497.2,1
608.532,629.196,605.576,626.267,1278252.709,103.4,99.5,610.5,-1,606.8,1,600.6,1,593.4,1,541.7,1,507.5,1,497.8,1
614.445,623.311,605.576,608.532,638452.4574,102.89999999999999,99.5,614.4,1,610.9,1,605.0,1,595.5,1,544.4,1,509.0,1,498.4,1
629.196,629.196,611.489,614.445,860857.8331,105.2,97.2,617.4,1,615.0,1,607.6,1,597.5,1,547.4,1,510.6,1,499.1,1
617.398,629.196,611.489,629.196,572439.4822,107.2,99.5,620.3,1,618.0,1,608.8,1,598.8,1,550.1,1,512.2,1,499.8,1
626.267,626.267,614.445,617.398,538249.2516,105.69999999999999,98.6,624.3,1,619.2,1,610.9,1,600.5,1,553.1,1,513.9,1,500.5,1
632.149,638.062,617.398,620.354,813463.0774,105.60000000000001,99.5,625.3,1,623.9,1,615.3,1,601.7,1,556.1,1,515.7,1,501.3,1
661.714,664.67,629.196,632.149,2338162.726,100.89999999999999,99.1,640.0,1,633.3,1,622.1,1,603.9,1,559.4,1,517.7,1,502.2,1
661.714,673.509,655.801,661.714,1119827.359,100.89999999999999,98.7,651.9,1,639.8,1,627.4,1,606.8,1,562.7,1,519.8,1,503.2,1
652.844,664.67,652.844,655.801,364248.6733,102.3,100.0,658.8,1,646.9,1,632.5,1,609.7,1,565.5,1,521.7,1,504.1,1
667.624,667.624,652.844,652.844,535878.5488,98.2,97.3,660.7,1,655.2,1,637.2,1,614.0,1,568.2,1,523.8,1,505.1,1
652.844,670.552,649.888,664.67,1020640.628,100.49999999999999,99.1,657.8,-1,659.3,1,641.6,1,616.9,1,570.7,1,525.9,1,506.1,1
655.801,661.714,646.931,649.888,663163.0936,100.0,99.1,658.8,1,658.2,-1,645.8,1,619.6,1,573.2,1,527.8,1,507.2,1
652.844,658.757,649.888,655.801,442108.7291,100.49999999999999,97.3,653.8,-1,656.4,-1,648.1,1,621.1,1,575.8,1,529.7,1,508.2,1
638.062,655.801,635.106,652.844,957673.8611,102.8,99.5,648.9,-1,653.4,-1,650.2,1,622.6,1,578.2,1,531.4,1,509.1,1
655.801,658.757,635.106,635.106,1005406.37,97.7,95.0,648.9,-1,651.1,-1,653.1,1,624.6,1,580.8,1,533.3,1,510.0,1
632.149,661.714,623.311,661.714,928225.0361,107.0,100.49999999999999,642.0,-1,646.9,-1,653.1,-1,626.3,1,583.1,1,535.0,1,510.8,1
638.062,643.975,635.106,635.106,450571.8485,106.0,97.2,642.0,-1,643.4,-1,650.8,-1,629.0,1,585.6,1,536.9,1,511.6,1
638.062,638.062,620.354,632.149,359172.7316,108.3,99.1,636.1,-1,640.4,-1,648.4,-1,630.4,1,587.9,1,538.8,1,512.5,1
641.019,643.975,632.149,632.149,360185.9899,108.3,100.89999999999999,639.0,1,641.0,1,647.2,-1,631.8,1,590.1,1,540.7,1,513.4,1
676.465,679.422,646.931,655.801,1418741.779,102.60000000000001,99.1,651.8,1,645.2,1,648.1,1,634.6,1,592.9,1,543.2,1,514.5,1
673.509,685.331,670.552,673.509,1019961.906,104.4,100.0,663.7,1,653.4,1,650.2,1,638.1,1,595.4,1,545.6,1,515.6,1
691.244,694.2,673.509,673.509,932287.7194,101.69999999999999,99.6,680.4,1,664.1,1,653.7,1,642.0,1,598.1,1,548.2,1,516.8,1
694.2,708.952,688.287,694.2,2098149.173,105.5,99.1,686.3,1,675.3,1,657.9,1,645.4,1,600.8,1,550.8,1,517.9,1
694.2,697.157,688.287,691.244,418073.5985,105.5,100.0,693.2,1,685.9,1,663.5,1,649.1,1,603.7,1,553.3,1,519.1,1
