Close,High,Low,Open,Volume,predicted_up_rate,predicted_Low_rate,Close_3ma,Close_3ma_positive,Close_5ma,Close_5ma_positive,Close_10ma,Close_10ma_positive,Close_25ma,Close_25ma_positive,Close_60ma,Close_60ma_positive,Close_100ma,Close_100ma_positive,Close_200ma,Close_200ma_positive
516.947,528.773,516.947,519.904,216991.6812,99.4,98.3,521.9,-1,527.0,-1,531.7,1,517.0,1,493.5,1,495.9,-1,568.9,-1
513.991,525.817,508.081,516.947,303314.8564,100.0,98.9,517.9,-1,523.5,-1,530.5,-1,518.5,1,493.8,1,495.6,-1,568.5,-1
513.991,516.947,508.081,508.081,124576.0893,97.7,96.6,515.0,-1,518.7,-1,527.9,-1,519.2,1,494.0,1,495.2,-1,568.0,-1
496.283,519.904,496.283,513.991,333442.4038,103.0,99.4,508.1,-1,512.8,-1,524.6,-1,519.3,1,494.2,1,494.8,-1,567.3,-1
493.329,502.196,493.329,496.283,262353.4869,104.2,99.4,501.2,-1,506.9,-1,519.6,-1,519.9,1,494.5,1,494.3,-1,566.7,-1
490.373,499.239,490.373,493.329,176030.3116,104.80000000000001,99.4,493.3,-1,501.6,-1,514.3,-1,519.8,-1,494.7,1,493.9,-1,566.0,-1
502.196,511.034,487.416,490.373,571760.76,102.3,101.8,495.3,1,499.2,-1,511.3,-1,519.2,-1,495.3,1,493.7,-1,565.5,-1
511.034,528.773,511.034,519.904,276909.023,100.6,99.4,501.2,1,498.6,-1,508.7,-1,519.0,-1,496.0,1,493.7,-1,565.0,-1
513.991,525.817,508.081,508.081,292481.0342,100.0,100.0,509.1,1,502.2,1,507.5,-1,518.4,-1,497.0,1,494.1,1,564.6,-1
513.991,528.773,513.991,513.991,285709.8953,96.6,96.6,513.0,1,506.3,1,506.6,-1,518.4,-1,498.1,1,494.6,1,564.1,-1
496.283,519.904,496.283,513.991,452601.5819,89.9,89.9,508.1,-1,507.5,1,504.5,-1,517.3,-1,499.0,1,494.6,-1,563.4,-1
446.058,463.797,446.058,451.971,1200733.623,99.3,96.0,485.4,-1,496.3,-1,497.8,-1,514.1,-1,499.0,-1,494.4,-1,562.4,-1
434.235,443.104,428.322,440.148,1193624.731,102.0,98.0,458.9,-1,480.9,-1,489.8,-1,510.7,-1,498.3,-1,494.0,-1,561.2,-1
434.235,440.148,425.365,431.278,996267.7446,102.0,99.3,438.2,-1,465.0,-1,483.6,-1,507.6,-1,497.8,-1,493.8,-1,560.0,-1
443.104,451.971,431.278,434.235,793490.6301,100.0,96.7,437.2,-1,450.8,-1,478.6,-1,505.1,-1,497.4,-1,493.7,-1,558.8,-1
440.148,440.148,428.322,437.191,1052797.909,103.4,98.0,439.2,1,439.6,-1,473.5,-1,502.4,-1,496.9,-1,493.6,-1,557.6,-1
431.278,443.104,431.278,440.148,745761.3383,107.5,99.3,438.2,-1,436.6,-1,466.4,-1,498.6,-1,496.2,-1,493.0,-1,556.4,-1
434.235,437.191,428.322,434.235,557542.9766,116.3,100.0,435.2,-1,436.6,-1,458.8,-1,494.4,-1,495.4,-1,492.4,-1,555.3,-1
443.104,446.058,434.235,434.235,525720.2321,113.99999999999999,101.29999999999998,436.2,1,438.4,1,451.7,-1,491.0,-1,494.7,-1,491.8,-1,554.3,-1
454.927,466.721,449.014,451.971,931271.2444,111.00000000000001,100.0,444.1,1,440.7,1,445.8,-1,487.4,-1,494.2,-1,491.3,-1,553.5,-1
463.797,463.797,454.927,463.797,629648.3685,108.89999999999999,101.29999999999998,453.9,1,445.5,1,442.5,-1,484.2,-1,494.0,-1,490.9,-1,552.6,-1
505.152,505.152,469.678,469.678,1320568.307,99.4,98.2,474.6,1,460.2,1,448.4,1,483.2,-1,494.3,1,490.9,-1,552.0,-1
502.196,519.904,496.283,516.947,1275209.718,100.0,97.1,490.4,1,473.8,1,455.2,1,481.7,-1,494.3,-1,490.9,-1,551.4,-1
487.416,502.196,487.416,496.283,592411.9295,103.0,99.4,498.3,1,482.7,1,460.5,1,480.2,-1,494.3,-1,490.6,-1,550.7,-1
487.416,499.239,484.46,499.239,592074.1767,103.0,99.4,492.3,-1,489.2,1,465.0,1,478.8,-1,494.2,-1,490.4,-1,550.0,-1
490.373,502.196,484.46,502.196,1351036.823,102.4,98.2,488.4,-1,494.5,1,470.0,1,477.7,-1,494.3,1,490.4,-1,549.3,-1
502.196,502.196,481.504,484.46,618142.2574,98.8,98.8,493.3,1,493.9,-1,477.1,1,477.3,-1,494.4,1,490.7,1,548.6,-1
496.283,508.081,496.283,502.196,451588.3236,98.8,98.8,496.3,1,492.7,-1,483.3,1,476.5,-1,494.6,1,491.0,1,547.9,-1
490.373,508.081,490.373,505.152,386254.0706,99.4,98.2,496.3,-1,493.3,1,488.0,1,476.3,-1,494.9,1,491.0,-1,547.0,-1
487.416,496.283,481.504,496.283,421457.5596,100.0,98.8,491.4,-1,493.3,-1,491.3,1,476.1,-1,495.1,1,491.0,-1,546.2,-1
484.46,490.373,481.504,487.416,364924.1788,100.6,100.0,487.4,-1,492.1,-1,493.3,1,475.8,-1,495.1,-1,491.0,-1,545.3,-1
487.416,490.373,484.46,487.416,450571.8485,100.0,97.6,486.4,-1,489.2,-1,491.6,-1,475.2,-1,495.4,1,490.9,-1,544.5,-1
487.416,487.416,475.591,481.504,818545.4524,98.8,98.8,486.4,-1,487.4,-1,490.1,-1,474.3,-1,495.6,1,490.8,-1,543.7,-1
481.504,490.373,481.504,484.46,462081.1764,100.0,98.8,485.4,-1,485.6,-1,489.5,-1,473.0,-1,495.8,1,490.8,-1,542.9,-1
481.504,490.373,475.591,487.416,673993.6992,98.8,98.8,483.5,-1,484.5,-1,488.9,-1,471.7,-1,495.7,-1,490.6,-1,542.1,-1
475.591,484.46,475.591,478.547,345627.2371,98.1,95.7,479.5,-1,482.7,-1,487.4,-1,470.9,-1,495.7,-1,490.2,-1,541.4,-1
466.721,478.547,454.927,478.547,440416.7485,100.0,97.5,474.6,-1,478.5,-1,483.9,-1,471.7,1,495.5,-1,489.5,-1,540.6,-1
466.721,466.721,454.927,460.84,196340.5117,98.7,97.5,469.7,-1,474.4,-1,480.9,-1,473.0,1,495.0,-1,488.9,-1,539.7,-1
460.84,463.797,454.927,460.84,250506.4063,100.6,98.1,464.8,-1,470.3,-1,478.0,-1,474.1,1,494.5,-1,488.3,-1,538.9,-1
454.927,463.797,451.971,463.797,244073.0202,103.89999999999999,95.5,460.8,-1,465.0,-1,474.7,-1,474.5,1,494.1,-1,487.8,-1,538.0,-1
440.148,454.927,434.235,454.927,472911.7819,108.1,99.3,452.0,-1,457.9,-1,470.3,-1,474.5,-1,493.2,-1,487.2,-1,536.9,-1
449.014,451.971,437.191,451.971,383207.8623,105.89999999999999,99.3,448.0,-1,454.3,-1,466.4,-1,475.2,1,492.1,-1,486.7,-1,535.9,-1
463.797,469.678,446.058,449.014,524031.4682,102.49999999999999,99.4,451.0,1,453.7,-1,464.1,-1,476.4,1,491.2,-1,486.3,-1,535.0,-1
472.634,475.591,460.84,460.84,309407.2731,100.6,98.7,461.8,1,456.1,1,463.2,-1,477.6,1,490.3,-1,486.2,-1,534.2,-1
